epoch:1 acc1:0.2353515625,acc5:0.5102826286764707,eval_loss:3.6221786085516214
epoch:2 acc1:0.38849954044117646,acc5:0.6734260110294118,eval_loss:2.8405453572049737
epoch:3 acc1:0.43698299632352944,acc5:0.723977481617647,eval_loss:2.6293375100940466
epoch:4 acc1:0.479836856617647,acc5:0.757180606617647,eval_loss:2.4609488854184747
epoch:5 acc1:0.4977596507352941,acc5:0.7699908088235294,eval_loss:2.331094373948872
epoch:6 acc1:0.5284926470588235,acc5:0.7872817095588234,eval_loss:2.1880934359505773
epoch:7 acc1:0.5479090073529412,acc5:0.8010110294117647,eval_loss:2.094051876105368
epoch:8 acc1:0.5646254595588236,acc5:0.8211741727941176,eval_loss:2.0466327127069235
epoch:9 acc1:0.5811695772058825,acc5:0.822897518382353,eval_loss:2.0224825935438275
epoch:10 acc1:0.6012178308823529,acc5:0.835650275735294,eval_loss:1.8764298856258392
epoch:11 acc1:0.6021943933823529,acc5:0.8337545955882352,eval_loss:1.766618326306343
epoch:12 acc1:0.6050666360294117,acc5:0.8404181985294117,eval_loss:1.7456009648740292
epoch:13 acc1:0.6169002757352942,acc5:0.8448414522058825,eval_loss:1.6815954502671957
epoch:14 acc1:0.6312040441176472,acc5:0.8543198529411765,eval_loss:1.6882690442726016
epoch:15 acc1:0.631548713235294,acc5:0.8524816176470588,eval_loss:1.569078927859664
epoch:16 acc1:0.6432674632352939,acc5:0.8583409926470589,eval_loss:1.5400079311802983
epoch:17 acc1:0.6475758272058824,acc5:0.8700597426470588,eval_loss:1.5645383819937706
epoch:18 acc1:0.6449908088235293,acc5:0.8644875919117647,eval_loss:1.598739163018763
epoch:19 acc1:0.6569967830882354,acc5:0.8700022977941176,eval_loss:1.5420092940330505
epoch:20 acc1:0.6574563419117647,acc5:0.8729319852941176,eval_loss:1.6172811891883612
epoch:21 acc1:0.6591222426470589,acc5:0.8793083639705882,eval_loss:1.479731042869389
epoch:22 acc1:0.6743451286764707,acc5:0.8794232536764706,eval_loss:1.4338034028187394
epoch:23 acc1:0.6698644301470589,acc5:0.8803423713235293,eval_loss:1.5484982701018453
epoch:24 acc1:0.669634650735294,acc5:0.8821231617647058,eval_loss:1.497532225213945
epoch:25 acc1:0.682272518382353,acc5:0.8825827205882353,eval_loss:1.3650399828329682
epoch:26 acc1:0.6744025735294119,acc5:0.8824678308823529,eval_loss:1.3878690982237458
epoch:27 acc1:0.6831341911764706,acc5:0.8852826286764706,eval_loss:1.40327060315758
epoch:28 acc1:0.6942784926470589,acc5:0.8927504595588237,eval_loss:1.3320590546354651
epoch:29 acc1:0.6939338235294118,acc5:0.8878102022058825,eval_loss:1.3768354672938585
epoch:30 acc1:0.6965762867647058,acc5:0.890969669117647,eval_loss:1.3676599729806185
epoch:31 acc1:0.6954273897058824,acc5:0.8890165441176472,eval_loss:1.3122720401734114
epoch:32 acc1:0.700482536764706,acc5:0.8945886948529411,eval_loss:1.3791466858237982
epoch:33 acc1:0.7035845588235295,acc5:0.8981502757352942,eval_loss:1.3431437835097313
epoch:34 acc1:0.701516544117647,acc5:0.896484375,eval_loss:1.3270441936329007
epoch:35 acc1:0.7173138786764706,acc5:0.8976332720588236,eval_loss:1.31174985319376
epoch:36 acc1:0.7103056066176471,acc5:0.9003331801470589,eval_loss:1.268853897228837
epoch:37 acc1:0.7119715073529412,acc5:0.9010225183823528,eval_loss:1.2511810613796115
epoch:38 acc1:0.7143267463235292,acc5:0.9034926470588236,eval_loss:1.3123568315058947
epoch:39 acc1:0.7153033088235294,acc5:0.9002757352941175,eval_loss:1.289938979782164
epoch:40 acc1:0.715475643382353,acc5:0.901654411764706,eval_loss:1.358841085806489
epoch:41 acc1:0.7168543198529411,acc5:0.9019416360294118,eval_loss:1.2483791997656226
epoch:42 acc1:0.7099034926470588,acc5:0.8994715073529413,eval_loss:1.2833425849676132
epoch:43 acc1:0.715130974264706,acc5:0.9049287683823529,eval_loss:1.2062277952209115
epoch:44 acc1:0.7184053308823529,acc5:0.902056525735294,eval_loss:1.2305885143578053
epoch:45 acc1:0.7225413602941176,acc5:0.9084329044117648,eval_loss:1.2402375461533666
epoch:46 acc1:0.7257582720588236,acc5:0.9034352022058822,eval_loss:1.2159276530146599
epoch:47 acc1:0.7258157169117647,acc5:0.9017693014705883,eval_loss:1.2404256723821163
