epoch:1 acc1:0.26233803353658536,acc5:0.5221989329268293,eval_loss:1.0162197453901172
epoch:2 acc1:0.40744092987804886,acc5:0.6871189024390244,eval_loss:1.0199835877865553
epoch:3 acc1:0.45098132621951215,acc5:0.7272294207317074,eval_loss:0.6988680483773351
epoch:4 acc1:0.4885670731707317,acc5:0.7560975609756098,eval_loss:0.5952093852683902
epoch:5 acc1:0.508860518292683,acc5:0.7741044207317073,eval_loss:0.6058065928518772
epoch:6 acc1:0.5340129573170732,acc5:0.7883003048780488,eval_loss:0.5946212951093912
epoch:7 acc1:0.5587842987804879,acc5:0.8080221036585364,eval_loss:1.376626388169825
epoch:8 acc1:0.5671208079268293,acc5:0.8162157012195121,eval_loss:0.497450090944767
epoch:9 acc1:0.5795541158536586,acc5:0.8235994664634145,eval_loss:0.4494747929275036
epoch:10 acc1:0.5873666158536587,acc5:0.8285060975609756,eval_loss:0.4103885889053345
epoch:11 acc1:0.6081364329268293,acc5:0.8404153963414633,eval_loss:0.5459288815036416
epoch:12 acc1:0.6149961890243902,acc5:0.8432736280487806,eval_loss:0.49699433520436287
epoch:13 acc1:0.6210461128048779,acc5:0.8503239329268293,eval_loss:0.46698720566928387
epoch:14 acc1:0.6251429115853657,acc5:0.8549447408536586,eval_loss:0.4325390188023448
epoch:15 acc1:0.6369092987804879,acc5:0.8573266006097561,eval_loss:0.4557979041710496
epoch:16 acc1:0.6498189786585366,acc5:0.8662823932926831,eval_loss:0.6523620802909136
epoch:17 acc1:0.6505811737804879,acc5:0.8688548018292682,eval_loss:0.3816742105409503
epoch:18 acc1:0.6559641768292682,acc5:0.8669969512195123,eval_loss:0.47581630013883114
epoch:19 acc1:0.6534870426829269,acc5:0.869283536585366,eval_loss:0.5611993409693241
epoch:20 acc1:0.6622046493902439,acc5:0.8714748475609757,eval_loss:0.3482472151517868
epoch:21 acc1:0.66796875,acc5:0.8733326981707317,eval_loss:0.435181419365108
epoch:22 acc1:0.6699695121951219,acc5:0.8798113567073171,eval_loss:0.5039525330066681
epoch:23 acc1:0.677734375,acc5:0.8800495426829268,eval_loss:0.39420885872095823
epoch:24 acc1:0.6791158536585364,acc5:0.8783346036585367,eval_loss:0.4015887137502432
epoch:25 acc1:0.6839272103658538,acc5:0.8835746951219513,eval_loss:0.37425140105187893
epoch:26 acc1:0.6814500762195121,acc5:0.882955411585366,eval_loss:0.37844589073210955
epoch:27 acc1:0.6947884908536586,acc5:0.8887671493902439,eval_loss:0.5165997873991728
epoch:28 acc1:0.6958841463414636,acc5:0.8893387957317072,eval_loss:0.5288751237094402
epoch:29 acc1:0.696312881097561,acc5:0.8869092987804879,eval_loss:0.3682616539299488
epoch:30 acc1:0.7023628048780489,acc5:0.8909584603658538,eval_loss:0.5048690531402826
epoch:31 acc1:0.7063166920731707,acc5:0.8930544969512195,eval_loss:0.519706005230546
epoch:32 acc1:0.7066501524390242,acc5:0.8926733993902439,eval_loss:0.35363345593214035
epoch:33 acc1:0.7061737804878048,acc5:0.8917206554878048,eval_loss:0.34463613480329514
epoch:34 acc1:0.7143673780487805,acc5:0.8960556402439024,eval_loss:0.37561551854014397
epoch:35 acc1:0.7103658536585366,acc5:0.8971036585365855,eval_loss:0.37957175355404615
epoch:36 acc1:0.7137480945121951,acc5:0.8971512957317074,eval_loss:0.39503077883273363
epoch:37 acc1:0.7159394054878049,acc5:0.8987233231707317,eval_loss:0.3824066938832402
epoch:38 acc1:0.7172732469512194,acc5:0.9000095274390245,eval_loss:0.4294729698449373
epoch:39 acc1:0.7247999237804877,acc5:0.9019150152439027,eval_loss:0.5162280024960637
epoch:40 acc1:0.7263243140243902,acc5:0.9020579268292682,eval_loss:0.4029219513759017
epoch:41 acc1:0.7206078506097562,acc5:0.9019150152439026,eval_loss:0.3583415625616908
epoch:42 acc1:0.7244664634146342,acc5:0.9035346798780487,eval_loss:0.35870547126978636
epoch:43 acc1:0.7281821646341464,acc5:0.9043445121951219,eval_loss:0.4512811880558729
epoch:44 acc1:0.7310403963414633,acc5:0.903248856707317,eval_loss:0.39086967799812555
epoch:45 acc1:0.7362328506097562,acc5:0.9080125762195124,eval_loss:0.337125145830214
epoch:46 acc1:0.7340415396341464,acc5:0.9074409298780488,eval_loss:0.39433145336806774
epoch:47 acc1:0.7383288871951218,acc5:0.9089653201219512,eval_loss:0.3952438682317734
epoch:48 acc1:0.7383288871951219,acc5:0.9102991615853658,eval_loss:0.36489294841885567
epoch:49 acc1:0.7419493140243902,acc5:0.908203125,eval_loss:0.4513878347352147
epoch:50 acc1:0.742044588414634,acc5:0.9081554878048782,eval_loss:0.4179408187046647
epoch:51 acc1:0.7434260670731707,acc5:0.9105849847560975,eval_loss:0.3617521049454808
epoch:52 acc1:0.7445217225609755,acc5:0.9117282774390244,eval_loss:0.3672734098508954
epoch:53 acc1:0.7465701219512196,acc5:0.9101086128048781,eval_loss:0.37178247701376677
epoch:54 acc1:0.7476657774390242,acc5:0.911966463414634,eval_loss:0.3638853617012501
epoch:55 acc1:0.7507145579268292,acc5:0.9106326219512195,eval_loss:0.44436171744018793
epoch:56 acc1:0.7488567073170731,acc5:0.9109660823170733,eval_loss:0.4179269513115287
epoch:57 acc1:0.7511432926829269,acc5:0.9115853658536586,eval_loss:0.3734606970101595
epoch:58 acc1:0.7525724085365854,acc5:0.9112042682926829,eval_loss:0.4354884782806039
epoch:59 acc1:0.7512862042682927,acc5:0.911108993902439,eval_loss:0.3742781691253185
epoch:60 acc1:0.753810975609756,acc5:0.9122522865853658,eval_loss:0.38776476588100195
epoch:61 acc1:0.7540967987804879,acc5:0.9140624999999999,eval_loss:0.3466013018041849
epoch:62 acc1:0.7568121189024389,acc5:0.9143959603658537,eval_loss:0.4243009015917778
epoch:63 acc1:0.7557164634146343,acc5:0.9128239329268293,eval_loss:0.41586261708289385
