epoch:1 acc1:0.297594572368421,acc5:0.585423519736842,eval_loss:3.1904946714639664
epoch:2 acc1:0.4138569078947368,acc5:0.7018914473684211,eval_loss:2.503110491670668
epoch:3 acc1:0.47491776315789475,acc5:0.7559107730263157,eval_loss:2.3848065119236708
epoch:4 acc1:0.5041118421052632,acc5:0.7743626644736842,eval_loss:2.0959122693166137
epoch:5 acc1:0.5089432565789475,acc5:0.7796052631578949,eval_loss:1.9476833567023277
epoch:6 acc1:0.5297594572368421,acc5:0.7981085526315788,eval_loss:1.8877380974590778
epoch:7 acc1:0.5485197368421053,acc5:0.8082853618421053,eval_loss:1.739264965057373
epoch:8 acc1:0.5768400493421053,acc5:0.8248869243421051,eval_loss:1.8510795338079333
epoch:9 acc1:0.583984375,acc5:0.831825657894737,eval_loss:1.6965834517031908
epoch:10 acc1:0.5860916940789473,acc5:0.8357319078947368,eval_loss:1.6222557025030255
epoch:11 acc1:0.5997635690789473,acc5:0.8377878289473685,eval_loss:1.60145447216928
epoch:12 acc1:0.6150801809210525,acc5:0.8450349506578948,eval_loss:1.533418751321733
epoch:13 acc1:0.6180098684210525,acc5:0.8522820723684211,eval_loss:1.4831935167312622
epoch:14 acc1:0.6235608552631577,acc5:0.854954769736842,eval_loss:1.4759804783388972
epoch:15 acc1:0.6350740131578948,acc5:0.860865542763158,eval_loss:1.4452832145616412
epoch:16 acc1:0.6451994243421052,acc5:0.8646689967105262,eval_loss:1.4237253246828914
epoch:17 acc1:0.6440172697368421,acc5:0.8625616776315789,eval_loss:1.3072004606947303
epoch:18 acc1:0.6446340460526315,acc5:0.8678042763157894,eval_loss:1.4038204113021493
epoch:19 acc1:0.6578947368421052,acc5:0.8729954769736843,eval_loss:1.3274690937250853
epoch:20 acc1:0.6649362664473686,acc5:0.8756681743421053,eval_loss:1.3636906193569303
epoch:21 acc1:0.6660670230263157,acc5:0.8783922697368421,eval_loss:1.3264614129438996
epoch:22 acc1:0.6710012335526316,acc5:0.8820415296052629,eval_loss:1.252412841655314
epoch:23 acc1:0.670178865131579,acc5:0.8809621710526314,eval_loss:1.3290523439645767
epoch:24 acc1:0.6734683388157894,acc5:0.8840974506578947,eval_loss:1.2956773918122053
epoch:25 acc1:0.6846217105263159,acc5:0.8846628289473684,eval_loss:1.2550550056621432
epoch:26 acc1:0.682360197368421,acc5:0.8875411184210527,eval_loss:1.2185566993430257
epoch:27 acc1:0.6886307565789473,acc5:0.8888260690789475,eval_loss:1.313917951658368
epoch:28 acc1:0.6843647203947368,acc5:0.8903166118421052,eval_loss:1.268154856748879
epoch:29 acc1:0.6956722861842105,acc5:0.8922183388157894,eval_loss:1.2466189237311482
epoch:30 acc1:0.699938322368421,acc5:0.8922697368421052,eval_loss:1.1789063196629286
epoch:31 acc1:0.6919716282894736,acc5:0.8944284539473685,eval_loss:1.2699165539816022
epoch:32 acc1:0.7013260690789473,acc5:0.8978207236842104,eval_loss:1.2783946860581636
