epoch:1 acc1:0.3215987042682927,acc5:0.5943216463414632,eval_loss:0.9584244322031736
epoch:2 acc1:0.44350228658536583,acc5:0.7201314786585366,eval_loss:0.9672626629471779
epoch:3 acc1:0.4841368140243903,acc5:0.7577648628048781,eval_loss:0.6857725605368614
epoch:4 acc1:0.5096227134146343,acc5:0.7729134908536586,eval_loss:0.5648175626993179
epoch:5 acc1:0.5216272865853658,acc5:0.7832983993902438,eval_loss:0.5796326622366905
epoch:6 acc1:0.5546398628048781,acc5:0.8045445884146343,eval_loss:0.52496915217489
epoch:7 acc1:0.5740758384146343,acc5:0.8180735518292682,eval_loss:1.4986814726144075
epoch:8 acc1:0.5761242378048781,acc5:0.8238852896341463,eval_loss:0.5079268822446465
epoch:9 acc1:0.5882717225609757,acc5:0.8309355945121951,eval_loss:0.4370939349755645
epoch:10 acc1:0.6066120426829269,acc5:0.8409394054878049,eval_loss:0.4310497837141156
epoch:11 acc1:0.6234279725609756,acc5:0.8521817835365855,eval_loss:0.5085111949592829
epoch:12 acc1:0.6297160823170733,acc5:0.8497999237804879,eval_loss:0.4405132681131363
epoch:13 acc1:0.6389576981707318,acc5:0.857374237804878,eval_loss:0.466078138910234
epoch:14 acc1:0.6380049542682926,acc5:0.8613757621951221,eval_loss:0.36900494806468487
epoch:15 acc1:0.6476276676829268,acc5:0.8656154725609757,eval_loss:0.44328498281538486
epoch:16 acc1:0.6523913871951219,acc5:0.8698075457317075,eval_loss:0.40387245919555426
epoch:17 acc1:0.6647294207317074,acc5:0.874904725609756,eval_loss:0.6227897237986326
epoch:18 acc1:0.6696360518292683,acc5:0.8758098323170731,eval_loss:0.8219015402719378
epoch:19 acc1:0.6706364329268293,acc5:0.8767625762195121,eval_loss:0.38156739342957735
epoch:20 acc1:0.6775914634146342,acc5:0.8795255335365856,eval_loss:0.32115182653069496
epoch:21 acc1:0.673828125,acc5:0.8756669207317073,eval_loss:0.378283710218966
epoch:22 acc1:0.6829268292682928,acc5:0.881764481707317,eval_loss:0.3726933039724827
epoch:23 acc1:0.6898342225609755,acc5:0.8845274390243903,eval_loss:0.3214300964027643
epoch:24 acc1:0.6874047256097562,acc5:0.8870045731707318,eval_loss:0.35531961265951395
epoch:25 acc1:0.6979801829268294,acc5:0.8884813262195123,eval_loss:0.3684867052361369
epoch:26 acc1:0.6985518292682926,acc5:0.8896246189024392,eval_loss:0.5020990082994103
epoch:27 acc1:0.6979325457317073,acc5:0.890672637195122,eval_loss:0.33748064655810595
epoch:28 acc1:0.704030106707317,acc5:0.8907679115853658,eval_loss:0.35138833336532116
epoch:29 acc1:0.702029344512195,acc5:0.8940072408536585,eval_loss:0.3391711199656129
epoch:30 acc1:0.7115091463414633,acc5:0.8957698170731709,eval_loss:0.3974874773994088
epoch:31 acc1:0.7090320121951221,acc5:0.8966749237804879,eval_loss:0.6060863584280014
epoch:32 acc1:0.7122237042682926,acc5:0.9000095274390243,eval_loss:0.6397673189640045
epoch:33 acc1:0.7129382621951219,acc5:0.8991044207317074,eval_loss:0.526511175557971
epoch:34 acc1:0.7218464176829268,acc5:0.9004858993902439,eval_loss:0.489018477499485
epoch:35 acc1:0.7175114329268293,acc5:0.8995331554878048,eval_loss:0.3410036386922002
epoch:36 acc1:0.7193692835365855,acc5:0.8997237042682926,eval_loss:0.3384293392300606
epoch:37 acc1:0.722513338414634,acc5:0.8993426067073169,eval_loss:0.44485827814787626
epoch:38 acc1:0.7278963414634146,acc5:0.9050590701219512,eval_loss:0.38870986085385084
epoch:39 acc1:0.7282774390243901,acc5:0.9036775914634146,eval_loss:0.38646568451076746
epoch:40 acc1:0.7330887957317073,acc5:0.9050114329268295,eval_loss:0.5241464469581842
epoch:41 acc1:0.7254668445121952,acc5:0.9030106707317073,eval_loss:0.32817685790359974
epoch:42 acc1:0.7340415396341462,acc5:0.9042492378048781,eval_loss:0.530952132306993
epoch:43 acc1:0.7329935213414634,acc5:0.9078220274390245,eval_loss:0.32056865748018026
